movie_id,genres,avg_ratings,num_votes,region,category,artist_name,screen_time,movie_title,death_year,weighted_avg,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,release_year,release_month,foreign_gross,total_profit,roi
tt5594956,"Action,Mystery,Sci-Fi",6.7,19,US,producer,Isaac F. Davis,72.0,The Guardian,,5.6206726698306e-07,22,2006-09-29,The Guardian,70.0,55.011732,94.97354,2006,9,39.961808,24.97354,0.35676485714285716
tt5804314,Drama,4.8,2179,DE,actor,Kevin Sorbo,100.0,Let There Be Light,,4.6180471004157275e-05,3,2017-10-27,Let There Be Light,3.0,7.233471,7.241309,2017,10,0.007838000000000456,4.241309,1.4137696666666668
tt6243140,"Drama,Horror,Sci-Fi",5.9,5970,RU,director,Robin Aubert,104.0,Ravenous,,0.00015551999485423663,27,1999-03-19,Ravenous,12.0,2.062406,2.062406,1999,3,0.0,-9.937594,-0.8281328333333334
tt3606752,"Adventure,Animation,Comedy",6.8,59408,RS,actor,Owen Wilson,102.0,Cars 3,,0.0017836668259161154,5,2017-06-16,Cars 3,175.0,152.901115,383.541369,2017,6,230.64025399999997,208.54136899999997,1.1916649657142855
tt3707106,"Drama,Romance",5.3,16206,LT,actor,Brad Pitt,122.0,By the Sea,,0.0003792377791221964,97,2015-11-13,By the Sea,20.0,0.53846,3.727746,2015,11,3.1892859999999996,-16.272254,-0.8136127
tt4411618,Drama,6.1,3189,GB,actor,Vincent D'Onofrio,110.0,In Dubious Battle,,8.589032472816e-05,61,2017-02-17,In Dubious Battle,15.0,0.0,0.214182,2017,2,0.214182,-14.785818,-0.9857212000000001
tt5056454,Documentary,6.1,35,XWW,producer,Rimante Daugelaite,65.0,Final Destination,,9.426658405411101e-07,74,2000-03-17,Final Destination,23.0,53.302314,112.03687,2000,3,58.73455599999999,89.03687,3.871168260869565
tt3411444,"Adventure,Animation,Comedy",6.7,40229,PL,writer,Robert L. Baird,108.0,Ferdinand,,0.0011900738991295538,14,2017-12-15,Ferdinand,111.0,84.41038,289.84793,2017,12,205.43755000000002,178.84793000000002,1.6112426126126127
tt3453052,Drama,6.7,1114,US,actor,Christopher Lambert,111.0,10 Days in a Madhouse,,3.295489133784889e-05,48,2015-11-11,10 Days in a Madhouse,12.0,0.014616,0.014616,2015,11,0.0,-11.985384,-0.998782
tt4236994,Thriller,8.1,16,AU,actor,Aash Aaron,90.0,Frenzy,,5.722224493401773e-07,2,1972-06-21,Frenzy,3.5,12.6,12.6,1972,6,0.0,9.1,2.6
tt4428728,"Crime,Drama,Thriller",6.3,3030,US,actor,Sami Bouajila,81.0,The Crew,,8.428359826739696e-05,88,2000-08-25,The Crew,23.0,13.019253,13.019253,2000,8,0.0,-9.980747,-0.4339455217391304
tt4501244,Comedy,6.2,89628,RU,producer,Ben Stiller,111.0,Why Him?,,0.002453552105514358,62,2016-12-23,Why Him?,38.0,60.323786,117.425156,2016,12,57.10137,79.425156,2.0901356842105265
tt6111842,Drama,3.1,7,US,producer,Mike Vernazza,83.0,Nomad,,9.581193789106365e-08,37,2007-03-16,Nomad,40.0,0.079123,0.079123,2007,3,0.0,-39.920877,-0.998021925
tt2948356,"Adventure,Animation,Comedy",8.0,383446,SE,actor,Jason Bateman,108.0,Zootopia,,0.01354422279689467,57,2016-03-04,Zootopia,150.0,341.268248,1019.429616,2016,3,678.161368,869.429616,5.79619744
tt3385516,"Action,Adventure,Sci-Fi",7.0,356556,RS,director,Bryan Singer,144.0,X-Men: Apocalypse,,0.011020103653769707,93,2016-05-27,X-Men: Apocalypse,178.0,155.442489,542.537546,2016,5,387.095057,364.537546,2.047963741573034
tt3469046,"Adventure,Animation,Comedy",6.3,92580,IT,actor,Trey Parker,89.0,Despicable Me 3,,0.002575239448051357,30,2017-06-30,Despicable Me 3,75.0,264.6243,1034.72775,2017,6,770.1034500000001,959.72775,12.79637
tt3532216,"Action,Biography,Comedy",7.2,131043,US,actor,Tom Cruise,115.0,American Made,,0.004165874801604715,32,2017-09-29,American Made,50.0,51.342,135.569212,2017,9,84.227212,85.569212,1.71138424
tt3564472,"Comedy,Drama",6.2,29321,IT,actress,Jada Pinkett Smith,122.0,Girls Trip,,0.0008026576659725365,36,2017-07-21,Girls Trip,28.0,115.108515,140.886353,2017,7,25.777838000000017,112.88635300000001,4.0316554642857145
tt3606888,"Biography,Comedy,Drama",7.4,23204,SE,director,Roger Spottiswoode,103.0,A Street Cat Named Bob,,0.0007581488262902942,31,2016-11-18,A Street Cat Named Bob,8.0,0.082703,17.382693,2016,11,17.29999,9.382693,1.172836625
